hour,month,day_of_week,is_weekend,pm25,pm10,so2,nox,no2,co,wind_speed,temperature,humidity,pm_ratio,nox_so2_ratio,label
23,2,4,0,54.11,83.55,9.95,26.25,18.91,0.876,1.18,22.1,86.2,0.648,2.639,unknown
5,5,1,0,179.82,232.83,40.3,10.65,9.71,0.534,3.65,29.8,45.3,0.772,0.264,industrial
13,12,0,0,38.64,67.31,7.67,22.17,13.08,0.742,4.98,33.3,57.1,0.574,2.89,unknown
5,2,0,0,75.73,137.98,13.82,20.1,16.5,0.905,0.27,21.4,90.7,0.549,1.454,seasonal_inversion
22,4,3,0,56.05,79.77,8.03,9.21,7.29,0.758,3.88,20.8,74.9,0.703,1.148,unknown
22,1,3,0,160.67,210.18,53.46,6.28,5.38,1.07,0.8,24.3,57.0,0.764,0.117,industrial
17,3,2,0,104.2,210.33,13.45,16.11,10.71,1.477,4.73,25.1,85.0,0.495,1.198,agricultural_burning
20,4,4,0,86.2,125.96,1.73,103.15,68.3,2.687,1.53,25.0,66.9,0.684,59.787,vehicular
10,2,0,0,81.71,122.94,8.73,93.3,55.48,2.49,2.02,31.6,51.3,0.665,10.685,vehicular
17,8,0,0,21.12,28.11,-1.37,8.37,3.79,0.158,2.19,44.9,43.2,0.751,5.0,unknown
17,4,4,0,210.27,395.97,6.12,22.66,11.08,2.162,3.76,39.4,18.1,0.531,3.702,agricultural_burning
10,9,4,0,69.43,107.39,6.63,105.28,56.83,3.043,2.34,25.6,33.9,0.647,15.878,vehicular
2,7,2,0,164.54,233.6,54.98,32.6,19.71,1.421,3.47,27.2,76.6,0.704,0.593,industrial
18,12,4,0,137.34,322.2,4.87,24.1,11.86,1.863,3.37,34.0,51.5,0.426,4.948,agricultural_burning
5,12,5,1,85.94,134.21,23.85,40.29,19.75,0.87,0.28,14.8,73.9,0.64,1.69,seasonal_inversion
7,9,3,0,85.03,156.96,4.67,88.8,61.74,3.193,2.63,32.8,39.0,0.542,19.006,vehicular
22,11,0,0,215.95,332.36,56.64,28.81,19.83,0.746,1.24,27.1,68.3,0.65,0.509,industrial
23,2,3,0,31.65,32.16,3.51,27.31,16.34,0.989,5.93,23.4,67.6,0.984,7.779,unknown
0,2,6,1,197.06,284.91,62.74,52.04,44.54,1.097,1.41,24.2,69.8,0.692,0.83,industrial
11,6,0,0,31.39,30.22,9.78,26.12,15.68,0.222,1.07,30.9,66.0,1.039,2.671,unknown
3,6,2,0,173.91,260.09,93.59,27.72,17.68,0.443,2.2,30.7,69.7,0.669,0.296,industrial
9,2,2,0,80.27,148.7,7.15,108.17,68.01,3.562,1.37,29.5,26.1,0.54,15.13,vehicular
18,12,1,0,81.62,107.14,9.21,18.74,11.58,1.837,3.11,28.2,49.3,0.762,2.034,agricultural_burning
1,3,0,0,147.06,200.13,83.93,60.91,47.21,0.694,3.99,33.5,78.3,0.735,0.726,industrial
15,12,6,1,221.71,392.84,4.58,8.94,3.92,2.662,4.74,33.2,57.7,0.564,1.953,agricultural_burning
11,4,4,0,183.56,347.14,8.38,26.97,18.35,1.427,1.0,21.5,17.7,0.529,3.217,agricultural_burning
6,6,6,1,31.47,67.44,11.62,15.78,6.24,0.137,6.65,34.3,32.3,0.467,1.358,unknown
8,6,2,0,53.86,90.3,2.31,46.9,36.3,3.239,2.08,32.2,54.5,0.596,20.286,vehicular
11,12,6,1,63.38,99.15,3.25,7.42,3.71,0.716,5.92,29.6,44.2,0.639,2.285,unknown
9,11,0,0,183.35,281.26,7.52,18.27,9.87,2.671,2.76,25.1,43.0,0.652,2.431,agricultural_burning
10,2,1,0,122.0,177.5,8.45,27.28,17.86,0.629,0.67,21.3,79.4,0.687,3.229,seasonal_inversion
14,12,0,0,46.93,133.42,6.46,22.12,6.46,2.116,4.96,35.8,44.6,0.352,3.427,agricultural_burning
14,9,3,0,76.1,146.09,4.49,7.38,8.08,0.604,3.04,19.6,83.8,0.521,1.645,unknown
14,10,3,0,122.24,243.14,12.22,40.19,28.68,0.995,3.51,24.0,65.9,0.503,3.288,agricultural_burning
16,11,2,0,172.21,429.22,9.9,19.44,6.23,1.266,4.8,21.5,15.7,0.401,1.964,agricultural_burning
3,1,5,1,197.0,215.49,63.07,59.48,36.66,0.578,1.26,37.3,80.5,0.914,0.943,industrial
7,12,5,1,80.14,152.64,17.37,44.98,27.91,1.024,0.45,18.4,81.1,0.525,2.589,seasonal_inversion
9,1,3,0,78.97,87.39,5.64,28.24,16.03,1.105,0.55,8.0,68.2,0.904,5.009,seasonal_inversion
3,2,5,1,197.87,283.98,72.5,42.89,29.0,0.599,1.69,35.5,82.2,0.697,0.592,industrial
0,11,3,0,168.39,228.48,43.91,56.07,32.92,0.415,2.11,21.2,64.2,0.737,1.277,industrial
8,3,2,0,23.95,41.43,10.69,27.01,15.03,0.359,7.34,26.2,87.8,0.578,2.527,unknown
14,3,0,0,237.67,356.92,13.6,5.63,2.67,2.807,4.37,39.3,27.9,0.666,0.414,agricultural_burning
14,10,5,1,35.18,42.95,10.01,41.82,25.21,0.369,6.58,23.5,62.3,0.819,4.178,unknown
9,1,1,0,55.36,68.78,16.76,1.84,1.0,1.227,0.63,17.0,67.1,0.805,0.11,seasonal_inversion
15,3,6,1,166.75,297.22,7.86,22.08,13.27,1.366,1.76,28.5,16.4,0.561,2.81,agricultural_burning
7,2,3,0,77.19,100.79,9.3,50.34,32.37,2.205,1.61,34.2,63.9,0.766,5.412,vehicular
1,5,3,0,265.92,329.8,82.28,40.61,30.36,0.845,1.16,27.6,58.9,0.806,0.494,industrial
16,11,6,1,137.3,269.41,4.1,26.77,15.02,1.12,1.62,30.6,26.3,0.51,6.521,agricultural_burning
9,12,4,0,92.34,191.84,12.93,6.52,0.42,0.445,4.66,23.3,45.0,0.481,0.504,agricultural_burning
13,11,3,0,186.32,278.7,1.19,23.16,9.07,0.959,1.58,41.7,30.2,0.669,19.441,agricultural_burning
10,12,4,0,38.33,23.72,3.36,19.31,10.45,0.732,6.68,25.0,54.4,1.616,5.747,unknown
1,1,2,0,137.22,168.96,79.75,37.22,26.13,0.931,2.87,21.3,86.4,0.812,0.467,industrial
8,12,2,0,87.69,134.21,13.2,43.91,24.31,0.7,1.37,17.4,72.9,0.653,3.326,seasonal_inversion
6,5,5,1,55.51,89.87,5.6,21.99,14.63,0.636,5.71,27.8,56.5,0.618,3.927,unknown
18,4,2,0,205.15,292.03,14.02,7.45,2.2,1.436,3.49,40.0,51.5,0.702,0.532,agricultural_burning
9,11,6,1,65.59,87.55,15.23,21.91,14.48,0.341,4.32,14.6,69.4,0.749,1.438,unknown
3,12,5,1,184.99,237.44,65.99,30.33,23.81,0.8,2.46,28.1,56.0,0.779,0.46,industrial
20,3,1,0,100.93,202.1,5.5,127.95,75.55,2.649,2.25,36.5,59.5,0.499,23.261,vehicular
16,10,5,1,109.85,230.63,10.4,25.28,14.29,1.74,3.8,33.2,67.6,0.476,2.431,agricultural_burning
19,12,3,0,58.61,157.85,5.48,84.06,40.06,2.955,1.97,42.2,24.0,0.371,15.325,vehicular
13,12,3,0,169.7,300.67,12.08,37.32,20.77,1.242,3.32,40.6,50.5,0.564,3.088,agricultural_burning
10,12,6,1,235.32,320.54,13.53,41.79,20.67,1.817,2.87,37.6,38.7,0.734,3.088,agricultural_burning
9,4,2,0,206.92,308.56,5.94,13.29,6.64,1.671,3.81,28.5,21.5,0.671,2.237,agricultural_burning
10,11,6,1,59.8,78.16,10.53,5.49,3.74,0.762,5.27,28.2,52.6,0.765,0.522,unknown
6,11,0,0,131.96,166.34,12.59,16.9,13.41,0.551,1.3,13.1,71.7,0.793,1.343,seasonal_inversion
8,2,6,1,79.02,98.94,13.22,29.53,16.28,1.091,1.41,22.7,83.5,0.799,2.233,seasonal_inversion
5,12,0,0,74.23,84.88,-1.51,17.47,13.98,0.694,0.41,20.0,62.8,0.874,5.0,seasonal_inversion
7,12,3,0,48.1,47.23,7.43,32.0,13.43,0.582,7.16,30.1,43.6,1.019,4.309,unknown
2,10,6,1,125.32,207.02,45.34,36.77,23.39,0.707,3.32,32.6,88.2,0.605,0.811,industrial
12,10,4,0,122.6,295.08,2.51,22.14,14.06,1.859,1.09,37.2,25.2,0.415,8.808,agricultural_burning
18,10,1,0,168.62,319.74,11.4,35.29,17.76,1.409,1.26,28.4,58.3,0.527,3.095,agricultural_burning
19,6,5,1,61.66,75.92,12.21,9.7,7.35,0.525,6.48,23.0,60.2,0.812,0.795,unknown
10,2,1,0,106.16,127.11,8.85,31.22,18.86,0.812,0.52,9.4,66.0,0.835,3.528,seasonal_inversion
10,1,2,0,100.18,154.21,9.65,34.29,17.62,0.69,1.23,21.4,85.6,0.65,3.554,seasonal_inversion
10,12,2,0,124.66,172.6,13.74,14.17,4.55,1.035,0.93,20.3,74.6,0.722,1.032,seasonal_inversion
1,3,3,0,149.08,185.85,117.24,67.19,34.53,0.9,2.14,30.3,70.9,0.802,0.573,industrial
7,12,2,0,82.27,145.36,3.21,122.11,57.76,3.165,1.56,28.7,47.4,0.566,38.01,vehicular
8,11,0,0,90.36,134.84,2.87,110.68,60.39,2.887,1.53,40.4,51.7,0.67,38.542,vehicular
1,1,5,1,41.86,89.65,2.36,40.76,23.69,0.435,4.1,31.6,70.1,0.467,17.286,unknown
9,1,5,1,74.94,124.78,19.65,34.61,27.75,1.26,1.17,18.1,67.3,0.601,1.761,seasonal_inversion
17,3,6,1,160.39,264.59,0.15,12.93,9.47,1.552,2.45,39.6,26.2,0.606,83.991,agricultural_burning
5,3,4,0,162.39,234.69,45.57,14.47,7.51,1.37,1.35,28.9,71.0,0.692,0.317,industrial
7,11,4,0,46.59,84.84,8.56,3.17,2.19,1.461,1.43,18.4,77.4,0.549,0.37,seasonal_inversion
16,2,4,0,14.98,9.61,6.16,26.47,12.89,0.56,4.68,24.5,79.1,1.559,4.295,unknown
10,10,2,0,253.01,365.53,14.01,4.07,1.57,1.804,4.04,42.1,66.7,0.692,0.29,agricultural_burning
8,6,1,0,93.64,142.32,3.05,101.89,61.93,3.81,2.99,21.2,74.0,0.658,33.429,vehicular
10,12,2,0,41.86,79.88,18.81,25.86,14.41,1.184,1.33,22.3,64.6,0.524,1.375,seasonal_inversion
19,8,0,0,104.3,174.88,3.05,105.71,70.16,3.337,3.0,28.6,53.8,0.596,34.609,vehicular
0,8,4,0,177.92,238.8,92.88,23.69,7.41,1.028,3.07,24.3,72.8,0.745,0.255,industrial
6,11,2,0,28.4,52.52,2.25,31.07,26.75,0.252,2.9,24.6,43.4,0.541,13.828,unknown
20,2,4,0,92.78,161.29,7.28,88.01,62.48,3.257,1.43,21.3,32.0,0.575,12.092,vehicular
6,1,1,0,98.07,113.96,7.74,21.01,19.99,1.09,1.06,5.6,81.8,0.861,2.714,seasonal_inversion
5,7,1,0,118.96,125.8,58.22,29.05,15.59,1.119,3.72,29.7,53.4,0.946,0.499,industrial
18,11,6,1,226.8,342.75,7.09,25.77,15.26,0.641,1.96,36.3,74.0,0.662,3.635,agricultural_burning
8,7,2,0,12.57,24.43,0.16,75.78,42.28,3.495,2.99,30.0,70.1,0.514,476.008,vehicular
10,12,6,1,100.25,151.19,6.88,26.0,13.85,1.174,0.31,17.9,66.9,0.663,3.777,seasonal_inversion
19,4,2,0,71.76,165.2,7.44,80.48,44.55,2.692,2.66,31.2,58.5,0.434,10.82,vehicular
5,2,6,1,127.44,181.0,14.35,15.55,8.59,0.753,0.44,24.1,62.5,0.704,1.084,seasonal_inversion
8,2,1,0,101.64,181.84,7.14,106.52,60.85,3.003,0.89,35.1,62.8,0.559,14.917,vehicular
17,4,0,0,164.17,295.51,10.73,9.02,3.56,2.34,4.12,36.1,43.8,0.556,0.84,agricultural_burning
9,4,3,0,75.54,85.02,6.09,123.88,86.07,2.686,2.99,34.3,70.9,0.889,20.343,vehicular
13,4,1,0,120.15,222.6,3.39,15.38,10.9,1.184,3.58,27.3,56.9,0.54,4.532,agricultural_burning
18,12,4,0,98.42,192.9,8.75,97.58,66.63,3.595,2.23,30.8,71.9,0.51,11.147,vehicular
2,12,4,0,44.99,71.13,10.07,32.2,25.32,0.409,3.58,34.5,64.7,0.633,3.198,unknown
1,8,3,0,194.83,246.89,83.56,14.43,6.76,1.25,0.78,37.8,99.7,0.789,0.173,industrial
8,11,0,0,68.72,95.55,22.56,23.08,12.35,1.0,1.22,13.1,66.7,0.719,1.023,seasonal_inversion
12,4,2,0,129.75,259.23,4.96,22.41,12.09,2.893,4.43,34.5,51.4,0.501,4.518,agricultural_burning
6,3,2,0,148.0,151.14,84.9,11.18,12.02,0.904,2.77,38.3,50.7,0.979,0.132,industrial
17,9,3,0,51.38,79.97,9.08,62.81,51.97,3.58,3.0,26.4,30.3,0.642,6.915,vehicular
18,7,2,0,27.38,44.28,1.27,18.79,11.48,0.598,3.75,19.6,74.4,0.618,14.747,unknown
6,8,3,0,34.74,32.57,1.46,33.38,18.69,0.544,2.7,25.0,59.2,1.067,22.805,unknown
0,12,3,0,139.89,202.24,96.4,39.11,21.67,0.58,1.53,32.1,87.6,0.692,0.406,industrial
7,12,4,0,114.19,159.26,13.33,34.82,20.46,0.877,0.2,16.0,74.9,0.717,2.612,seasonal_inversion
4,2,6,1,153.49,183.56,72.93,51.08,37.08,1.228,1.07,29.0,62.0,0.836,0.7,industrial
15,6,2,0,48.22,61.61,7.87,29.3,20.38,0.84,6.95,21.4,53.8,0.783,3.722,unknown
23,9,0,0,149.32,210.75,98.49,55.8,44.49,1.034,3.97,24.6,57.4,0.709,0.567,industrial
9,2,2,0,118.77,181.34,9.61,3.91,-2.0,0.611,1.36,11.7,86.0,0.655,0.406,seasonal_inversion
8,11,1,0,72.02,88.42,9.53,31.5,29.6,1.083,0.4,14.8,98.0,0.815,3.305,seasonal_inversion
2,9,1,0,196.16,203.35,59.06,25.27,13.31,0.556,2.56,22.8,71.2,0.965,0.428,industrial
5,12,2,0,95.02,184.91,10.67,39.27,23.34,0.81,0.1,15.6,92.4,0.514,3.678,seasonal_inversion
10,2,6,1,69.94,135.68,4.42,24.31,12.7,1.423,1.13,10.8,71.7,0.515,5.496,seasonal_inversion
10,12,2,0,66.48,144.51,0.09,63.73,28.36,2.218,2.02,33.7,49.4,0.46,689.41,vehicular
1,2,0,0,186.06,239.69,81.98,51.46,35.33,0.351,1.22,31.4,72.6,0.776,0.628,industrial
4,2,3,0,210.7,307.62,56.16,32.77,16.96,0.545,1.53,33.4,79.7,0.685,0.583,industrial
20,1,0,0,62.23,92.45,4.98,70.1,50.55,3.13,2.9,32.2,65.6,0.673,14.074,vehicular
7,11,5,1,179.2,270.98,7.16,16.32,9.38,0.505,0.39,12.1,90.1,0.661,2.279,seasonal_inversion
8,1,5,1,130.01,209.43,13.28,31.71,28.3,0.462,0.73,13.7,94.5,0.621,2.389,seasonal_inversion
12,12,3,0,137.29,232.26,4.91,18.77,14.5,1.534,2.44,32.1,36.6,0.591,3.827,agricultural_burning
9,12,5,1,14.58,28.72,9.24,22.65,12.15,0.459,4.95,25.7,60.7,0.508,2.452,unknown
7,12,2,0,33.92,52.05,5.83,41.19,26.36,3.194,1.96,36.6,32.9,0.652,7.065,vehicular
6,11,6,1,86.36,104.7,14.55,17.95,7.36,0.961,0.83,21.5,69.9,0.825,1.233,seasonal_inversion
18,6,1,0,91.59,140.49,2.29,50.23,24.93,3.236,0.69,22.4,45.5,0.652,21.929,vehicular
0,3,3,0,151.11,227.08,70.02,51.69,40.08,0.538,1.92,30.9,76.3,0.665,0.738,industrial
7,10,3,0,73.55,139.06,7.31,51.48,46.23,1.811,0.87,24.8,74.3,0.529,7.045,vehicular
10,11,1,0,70.64,124.41,6.38,76.73,50.99,2.659,1.59,29.9,73.4,0.568,12.025,vehicular
1,5,2,0,172.95,195.16,87.66,39.85,24.93,1.021,3.33,35.2,57.6,0.886,0.455,industrial
20,12,2,0,74.11,106.44,7.1,111.75,80.68,3.009,2.96,22.6,43.9,0.696,15.73,vehicular
8,12,6,1,88.17,128.77,15.1,29.66,22.13,0.897,0.57,15.6,77.3,0.685,1.964,seasonal_inversion
4,2,2,0,98.27,129.56,93.67,48.14,28.43,0.223,1.39,34.3,65.8,0.758,0.514,industrial
11,4,6,1,158.15,289.79,13.99,38.32,21.94,2.076,3.3,32.5,39.9,0.546,2.74,agricultural_burning
5,10,0,0,140.98,248.59,67.53,39.35,23.08,0.575,0.55,25.0,71.5,0.567,0.583,industrial
5,2,3,0,64.99,104.42,12.7,5.42,1.46,0.587,5.97,27.9,59.8,0.622,0.427,unknown
11,1,0,0,23.2,34.2,5.03,21.28,15.99,0.622,7.79,31.7,65.9,0.678,4.23,unknown
7,6,1,0,11.99,11.39,6.76,24.84,10.19,0.489,7.74,20.3,76.9,1.053,3.674,unknown
14,10,6,1,173.09,304.1,16.85,4.86,3.3,1.158,4.47,25.5,16.5,0.569,0.288,agricultural_burning
1,11,3,0,182.15,240.74,103.43,13.87,10.68,0.918,0.96,22.7,67.5,0.757,0.134,industrial
21,2,6,1,22.08,38.95,-1.39,30.63,17.59,0.428,8.0,21.3,68.3,0.567,5.0,unknown
7,12,0,0,73.58,102.66,8.59,56.31,45.09,1.049,0.03,10.5,71.9,0.717,6.553,seasonal_inversion
9,1,1,0,82.1,110.9,15.37,26.09,20.7,1.045,0.01,16.8,89.7,0.74,1.697,seasonal_inversion
5,8,0,0,213.03,235.03,104.77,41.11,25.27,0.515,3.96,27.7,65.7,0.906,0.392,industrial
2,11,4,0,187.28,291.38,48.47,47.31,36.71,0.961,2.56,27.7,38.0,0.643,0.976,industrial
13,4,3,0,143.73,245.54,7.58,5.15,4.7,1.847,4.71,32.5,39.7,0.585,0.679,agricultural_burning
0,3,3,0,48.27,84.12,10.86,24.52,18.23,0.395,4.82,32.8,60.0,0.574,2.258,unknown
17,2,2,0,53.01,92.88,10.03,114.63,68.49,2.565,1.66,35.7,69.4,0.571,11.425,vehicular
10,11,1,0,65.46,127.96,13.45,116.87,77.79,3.054,2.95,24.4,77.0,0.512,8.689,vehicular
21,1,1,0,37.35,30.11,10.02,34.21,18.24,0.508,2.04,21.3,79.5,1.24,3.414,unknown
15,10,4,0,110.73,246.12,2.57,6.37,7.03,1.669,4.79,23.8,48.3,0.45,2.478,agricultural_burning
20,12,2,0,58.87,93.84,-0.2,70.09,31.29,3.552,2.8,34.1,57.5,0.627,5.0,vehicular
16,4,2,0,145.81,264.88,6.84,16.85,6.12,1.699,2.17,34.9,27.8,0.55,2.462,agricultural_burning
19,12,0,0,64.27,140.16,4.75,34.86,14.76,0.92,0.75,34.3,81.9,0.459,7.333,vehicular
10,11,1,0,136.16,209.64,8.3,24.03,16.09,1.134,0.98,15.8,89.1,0.649,2.896,seasonal_inversion
2,5,6,1,185.21,224.69,73.16,31.13,20.23,0.903,3.31,25.7,57.0,0.824,0.425,industrial
9,2,3,0,107.68,137.9,15.73,8.66,2.66,0.96,0.99,15.5,58.0,0.781,0.55,seasonal_inversion
9,3,3,0,111.94,292.64,6.57,20.81,8.66,0.692,1.4,27.5,36.9,0.383,3.165,agricultural_burning
4,7,3,0,179.97,231.79,96.01,37.54,28.93,1.336,0.55,30.9,86.7,0.776,0.391,industrial
23,10,1,0,33.8,49.74,13.32,26.02,13.66,0.411,1.55,32.4,83.2,0.679,1.953,unknown
17,3,3,0,129.73,222.05,6.43,23.99,14.18,1.193,1.86,22.0,68.8,0.584,3.729,agricultural_burning
10,2,4,0,61.6,93.56,9.67,52.99,38.84,3.879,2.0,32.2,52.8,0.658,5.48,vehicular
18,12,2,0,145.14,308.75,9.14,7.99,2.91,1.647,1.98,33.9,43.8,0.47,0.874,agricultural_burning
16,3,3,0,26.63,52.4,17.79,25.25,12.28,0.468,5.21,40.8,77.8,0.508,1.419,unknown
20,10,1,0,35.44,50.34,8.48,75.1,50.14,1.563,1.77,37.1,73.9,0.704,8.855,vehicular
6,6,0,0,191.49,234.59,46.88,29.51,14.61,1.182,2.14,36.3,68.3,0.816,0.629,industrial
16,3,1,0,111.41,206.74,11.48,16.62,15.49,1.536,2.67,35.8,47.5,0.539,1.448,agricultural_burning
0,8,5,1,155.1,159.6,64.93,39.62,19.68,0.997,2.45,22.9,83.0,0.972,0.61,industrial
17,4,2,0,154.38,245.16,14.12,19.41,10.93,2.177,2.46,38.6,51.9,0.63,1.375,agricultural_burning
18,5,0,0,88.21,173.66,9.83,103.23,57.88,2.87,2.92,30.1,46.7,0.508,10.506,vehicular
13,4,4,0,45.4,66.27,7.82,8.88,6.23,0.153,1.83,34.0,98.0,0.685,1.135,unknown
3,12,0,0,167.5,233.77,120.07,33.9,18.49,0.656,3.22,24.7,53.8,0.717,0.282,industrial
10,4,1,0,184.29,370.87,1.97,13.66,8.9,2.304,4.81,25.7,64.6,0.497,6.94,agricultural_burning
17,7,6,1,44.72,61.58,9.25,20.35,12.67,0.185,3.73,23.5,46.0,0.726,2.2,unknown
2,1,1,0,174.38,246.19,92.42,44.36,35.47,0.943,2.46,27.0,75.8,0.708,0.48,industrial
10,2,5,1,70.19,95.23,21.04,41.54,23.65,1.133,1.29,19.4,79.7,0.737,1.974,seasonal_inversion
2,2,4,0,168.07,183.98,58.95,6.91,3.25,0.81,3.74,27.4,66.0,0.914,0.117,industrial
14,10,3,0,55.87,73.38,10.06,5.49,3.62,0.148,5.08,39.2,44.3,0.761,0.546,unknown
4,1,5,1,190.38,223.56,87.98,35.48,16.0,0.91,1.31,34.5,53.2,0.852,0.403,industrial
13,10,5,1,111.98,227.26,7.29,27.54,18.2,1.09,4.54,28.2,48.4,0.493,3.776,agricultural_burning
7,12,6,1,94.6,137.97,11.62,21.93,14.8,0.605,0.98,17.0,71.9,0.686,1.888,seasonal_inversion
6,12,2,0,85.33,95.33,13.66,29.38,19.27,1.342,1.07,12.4,69.2,0.895,2.151,seasonal_inversion
19,6,1,0,30.41,20.07,2.93,-5.1,-2.57,0.376,5.68,28.3,62.6,1.515,-1.739,unknown
10,12,1,0,72.74,153.76,8.47,64.48,37.94,2.83,2.41,32.4,26.6,0.473,7.617,vehicular
1,4,1,0,36.61,50.64,10.19,23.81,11.26,0.106,1.21,33.2,71.1,0.723,2.337,unknown
6,1,3,0,73.01,88.21,18.76,11.44,11.78,1.026,0.81,26.2,76.5,0.828,0.61,seasonal_inversion
8,2,4,0,105.84,163.67,12.27,39.58,27.76,1.396,1.13,19.8,61.7,0.647,3.225,seasonal_inversion
8,11,6,1,52.28,82.57,9.32,33.51,18.92,0.47,0.03,29.7,60.7,0.633,3.597,seasonal_inversion
14,10,1,0,206.71,276.04,7.56,19.09,7.96,1.812,1.66,32.1,57.0,0.749,2.527,agricultural_burning
8,11,3,0,84.66,126.7,15.37,25.52,10.22,0.792,0.41,15.4,59.9,0.668,1.66,seasonal_inversion
10,2,4,0,78.91,99.6,15.13,41.77,21.19,0.915,0.97,15.6,86.1,0.792,2.76,seasonal_inversion
13,6,5,1,15.35,22.94,21.96,25.02,13.53,0.484,4.33,29.3,79.8,0.669,1.14,unknown
2,2,6,1,196.68,221.51,75.46,11.6,10.07,0.787,1.23,28.1,56.1,0.888,0.154,industrial
12,9,1,0,44.75,51.28,2.56,34.35,20.78,0.603,6.37,41.7,66.1,0.873,13.442,unknown
18,5,4,0,68.51,92.77,4.21,112.59,83.19,4.037,1.75,36.3,90.0,0.738,26.738,vehicular
20,10,3,0,61.01,115.45,10.01,0.65,-4.27,0.587,2.9,26.6,58.6,0.528,0.065,unknown
8,2,0,0,88.76,150.36,17.27,20.03,17.73,1.15,0.4,30.8,93.2,0.59,1.159,seasonal_inversion
11,3,2,0,172.02,272.39,18.04,40.16,27.16,1.527,4.51,26.9,66.1,0.631,2.227,agricultural_burning
7,4,4,0,73.4,110.79,7.2,116.73,56.12,1.265,2.4,31.6,57.8,0.663,16.222,vehicular
6,7,6,1,143.18,173.82,64.0,18.99,9.32,1.059,2.15,18.8,47.1,0.824,0.297,industrial
6,8,3,0,132.04,190.18,53.64,27.8,19.41,0.99,3.62,31.1,40.7,0.694,0.518,industrial
18,8,1,0,33.78,65.81,4.84,40.87,20.0,2.638,1.05,26.7,44.7,0.513,8.439,vehicular
5,12,2,0,57.98,92.37,13.32,19.08,7.38,1.109,1.29,18.1,75.5,0.628,1.432,seasonal_inversion
19,1,2,0,75.29,129.96,13.21,104.41,71.23,2.97,1.29,33.5,44.8,0.579,7.903,vehicular
18,8,0,0,74.65,142.17,2.92,94.33,72.17,3.272,2.0,23.1,66.6,0.525,32.333,vehicular
23,1,6,1,154.62,186.51,81.09,28.72,25.39,0.663,3.61,27.0,72.1,0.829,0.354,industrial
9,11,2,0,113.35,232.0,8.03,10.99,5.58,1.859,1.67,30.5,43.0,0.489,1.369,agricultural_burning
